RMS,Mean,MA1,MA2,MA3,F1,F2,F3,FailureID
2.371729326883656,1.8629416666666667,70582.20105537759,44957.93805914747,42464.52878676267,2.8000000000000003,1.2000000000000002,5.6000000000000005,1.0
2.325790188301602,1.8259333333333334,35662.282357582975,34522.14575775093,27732.243960997075,6.4,2.0,8.4,1.0
2.320940901157689,1.8235333333333332,38012.68928739224,37834.148536681634,31264.074339521605,2.8000000000000003,6.0,2.4000000000000004,1.0
2.332870192131001,1.8333416666666666,40215.863163685215,34676.628610693675,28908.147465005313,4.800000000000001,7.6000000000000005,4.0,1.0
2.378052424429145,1.8619666666666668,61710.23325456107,49222.1214764109,40121.53990894271,4.0,3.2,1.6,2.0
2.273187923013259,1.7842166666666666,31818.292810486633,30500.732824732375,28245.946033515283,6.0,2.0,5.6000000000000005,2.0
2.277147338228249,1.7888,32449.67513140266,30182.210549493037,29478.03847565681,1.2000000000000002,3.2,1.6,2.0
2.307179916405885,1.8110458333333332,44864.188556717185,42049.738893295704,30576.481318681435,3.6,4.4,3.2,2.0
2.3213914649049032,1.8245,48901.82339284965,44747.6615128668,37204.854941789425,2.8000000000000003,1.6,3.6,3.0
2.274521011846963,1.7843958333333334,42369.15142124415,40951.17068759349,25898.628242861563,3.6,5.2,10.0,3.0
2.283043473085872,1.7940291666666666,55482.92562228894,34917.94837192425,33462.402169121684,4.800000000000001,4.0,8.4,3.0
2.2832633809235996,1.7930416666666666,33173.5799811694,29903.339449473428,27973.721791609172,2.4000000000000004,3.2,4.800000000000001,3.0
