RMS,Mean,MA1,MA2,MA3,F1,F2,F3
5.423419124500706,7323.232141666666,108181538.16496268,91902443.50424385,69213804.98282057,4654.0,4653.6,3878.4
1.001914833373243,7314.40105,107901836.06556532,73855752.48012744,67508514.44674394,4652.8,3877.2000000000003,4651.2
8.242957600279162,7324.9317083333335,107463065.46761093,78655595.09193702,71580408.48736481,4652.400000000001,4652.8,4650.400000000001
4.542539212819191,7286.0545375,94878317.47078633,78566689.02014536,78474390.29541157,4653.2,4654.400000000001,3877.6000000000004
8.292086086544607,7260.984591666666,83006295.596672,72429764.27763641,64842374.53232294,4654.400000000001,4652.0,4650.400000000001
6.306785036767941,7274.003795833333,92866958.30815168,71940403.31027341,64045229.632955275,4650.400000000001,4651.6,4652.400000000001
7.1177275750996065,7268.5690875,91408771.75500321,69143985.63374396,67408875.82254715,4650.8,4650.0,3875.6000000000004
2.648239981572667,7237.0674,78455066.35606797,71373549.58272028,67848869.44919579,4654.400000000001,4654.0,4650.0
10.306253360622051,7233.283908333334,86883650.53073943,72931870.09076823,62813025.84746503,4650.8,4652.0,4652.400000000001
3.866594108514624,7214.60555,83610225.90009259,77824714.30265588,76363769.4395636,4654.0,4651.6,4654.400000000001
5.811105029739754,7184.354625,83473119.12411809,73453620.7177018,70766865.22419633,4651.2,4650.8,4654.0
8.61810690735887,7197.457516666666,89430316.09593363,75888499.65716098,75167549.24388859,4650.8,4651.2,4653.6
5.708456811316581,7153.329770833333,88213491.27639353,71966320.45458876,69246084.26555362,4650.400000000001,4650.8,4654.400000000001
2.9488500583560815,7207.034525,77573193.93042806,74728026.867167,61310942.0,4651.6,4652.0,0.0
7.7702549829461836,7186.677429166667,88179613.96470885,75397889.54659961,67520572.43006027,4652.400000000001,4652.0,4651.2
4.27180728731997,7190.841820833333,88904478.20515646,81313192.32505415,74841900.93057938,4651.2,4650.8,4648.0
4.3708694787193085,7182.3382,85974625.53532982,85442628.13455614,67921475.16858605,4654.400000000001,4651.2,4651.6
7.574887237884579,7205.968466666666,83762956.78605093,81998272.39089254,73542127.16118161,4653.6,4654.0,4650.8
8.427436838485749,7165.8097,80511172.3570056,68752716.03987335,67970406.84451179,4653.6,4650.400000000001,4650.8
2.783645691055766,7162.211533333333,108798120.7417804,83277218.35158756,78565382.7199384,4653.6,4653.2,4651.6
8.639870272945846,7186.388308333333,78666719.89499256,76330049.17590995,67916811.33077858,4654.0,4650.0,4650.8
9.25122829682632,7174.709216666667,91531911.91042623,79656247.28128228,73890370.9332078,4652.0,4650.8,4651.6
9.344544531436512,7127.204870833333,116216700.14118773,99985928.04944208,82391624.34071958,4651.6,4652.400000000001,3876.0
21.09944114583765,570.668225,62274844.0,8654127.681733316,8636663.499236902,0.0,2655.2000000000003,2654.8
20.36464982512589,255.3659625,60879709.0,2844444.0798426555,2027959.7596965248,0.0,96.0,95.60000000000001
37.05141326589311,512.67555,58949202.0,9198160.896332575,8776724.655710837,0.0,534.4,534.8000000000001
27.49003304229856,401.5260583333333,60988560.0,14456830.580024369,12856690.37744834,0.0,560.8000000000001,561.2
35.493279176016785,262.9475,61279410.0,4014925.916482837,3452797.6263572103,0.0,21.6,141.6
20.6853061777356,262.04445,60905276.0,3325581.7240179973,2951433.490332844,0.0,140.4,139.6
10.707545431454712,261.4459458333333,62408213.0,2308885.687318916,2122797.8369392217,0.0,69.2,92.0
28.020619714179535,255.52137083333332,60307649.0,3945235.8739857124,3645350.3027462615,0.0,96.80000000000001,21.6
30.469147920478513,270.2889416666667,60671714.0,3451762.7623488796,2736374.345847714,0.0,22.0,21.6
40.157338266706205,246.61365,59100372.0,3128445.4853064297,2132985.0766233676,0.0,21.6,22.0
10.87300269014958,257.27647083333335,61566197.0,5125008.119164237,2655184.6296711704,0.0,22.0,90.80000000000001
27.594802499746216,325.93529166666667,60360956.0,5994055.402331289,5768491.987151826,0.0,1060.4,1060.8
34.290707317483744,368.9623,61488250.0,4228705.0125410445,4127444.916331636,0.0,835.6,836.0
35.30320311246559,274.165925,61497302.0,3368297.6020291345,2699506.54343971,0.0,22.0,22.400000000000002
27.797776289960076,412.556125,62104774.0,9498918.274059344,8681293.385841126,0.0,1352.8000000000002,1353.2
29.603471009888914,308.1347958333333,61521759.0,5302751.718113266,4977377.903065494,0.0,1075.2,1074.0
34.07444331900376,282.5495875,61185229.0,3824983.6271958076,3723893.4276013826,0.0,872.4000000000001,872.8000000000001
35.115475636343966,281.39247083333333,62411643.0,6376806.465046381,2592218.8118966026,0.0,22.0,22.400000000000002
16.875504807264285,255.71565416666667,61018127.0,2287027.9242097647,2155680.8620929243,0.0,81.2,22.0
2.7410885915392567,258.95551666666665,61059022.0,2233236.70623069,2075433.8335389774,0.0,22.400000000000002,835.6
15.410989179802833,257.41197916666664,61045335.0,2839756.4363975925,2517756.9743904653,0.0,22.0,22.400000000000002
7.8005197476407515,266.94821666666667,63622582.0,4581813.143063356,3910164.910399875,0.0,22.0,161.20000000000002
16.793533105534006,268.82725416666665,59784217.0,6609889.763286561,6343926.681702101,0.0,139.20000000000002,138.4
38.183556397573376,239.22337916666666,57413611.0,2789156.351918916,2118798.4576068674,0.0,22.0,160.0
42.000504808474226,242.05665416666668,58093597.0,3697594.2189209242,1771657.3769510994,0.0,22.0,21.6
26.752155910007204,248.8130625,59713239.0,5937194.100522188,3271840.0013951384,0.0,21.6,22.0
6.1055951115895875,248.47135833333334,59625206.0,5586020.996204892,2022551.0634366598,0.0,21.6,96.4
29.48352880564559,246.04684583333332,59032891.0,2678755.836556904,2266704.947592576,0.0,96.4,97.2
1.2072092472585962,259.5794125,59390169.0,3502203.916197529,3192481.223810981,0.0,97.60000000000001,96.4
24.53125744161246,257.7910166666667,59892342.0,3435990.81084862,2205161.926553776,0.0,22.400000000000002,457.6
29.33600610455804,266.6516291666667,63996121.0,3216555.879095364,3087565.8015872696,0.0,22.400000000000002,22.0
